paragraph_id,url,para_id,year,doc_type,topic_lvl1,topic_lvl2,pool_tag,dominant_topic,admin_score,paragraph_text,domain_label,domain_secondary,instrument_labels
https://www.gov.cn/zhengce/zhengceku/2021-01/17/content_5580512.htm#4,https://www.gov.cn/zhengce/zhengceku/2021-01/17/content_5580512.htm,4,2021,通知,国土资源、能源,电力,clean,1,0,工业和信息化部办公厅 市场监管总局办公厅 国家能源局综合司 2020年12月22日,,,
https://www.gov.cn/zhengce/zhengceku/2021-03/31/content_5597156.htm#7,https://www.gov.cn/zhengce/zhengceku/2021-03/31/content_5597156.htm,7,2021,公告/通告,财政、金融、审计,银行,clean,1,0.013888888888888888,计算贷款年化利率较为公允的方法是，根据借款人的借款本金、每期还款金额、贷款期数等要素，考虑复利后计算得出的年化内部收益率（IRR）。计算公式为：,,,
https://www.gov.cn/zhengce/zhengceku/2021-07/31/content_5628646.htm#17,https://www.gov.cn/zhengce/zhengceku/2021-07/31/content_5628646.htm,17,2021,通知,城乡建设、环境保护,城乡建设（含住房）,clean,1,0.034782608695652174,（四）成果应用。各省（区、市）和样本县要充分运用评价成果，采取有针对性的措施解决乡村建设存在的问题和短板，并将评价成果作为编制“十四五”乡村建设相关规划、制定有关政策、确定乡村建设年度计划和项目库的重要依据，不断提高乡村建设水平。,,,
https://www.gov.cn/zhengce/zhengceku/2021-08/05/content_5629560.htm#4,https://www.gov.cn/zhengce/zhengceku/2021-08/05/content_5629560.htm,4,2021,通知,国土资源、能源,其他,clean,1,0.052,以习近平新时代中国特色社会主义思想为指导，全面贯彻党的十九大和十九届二中、三中、四中、五中全会精神，坚定不移贯彻新发展理念，以推动高质量发展为主题，以深化供给侧结构性改革为主线，推动家电生产企业积极承担社会责任，按照企业自愿、政府支持、示范引领、有序推进的原则，鼓励家电生产企业开展回收目标责任制行动，依托产品销售维修服务网络构建废旧家电逆向回收体系，进一步优化回收渠道，畅通家电生产流通消费和回收利用，促进家电更新消费，推动家电行业高质量发展，为培育完整内需体系，形成强大国内市场发挥更加重要作用。,,,
https://www.gov.cn/zhengce/zhengceku/2021-07/13/content_5624610.htm#43,https://www.gov.cn/zhengce/zhengceku/2021-07/13/content_5624610.htm,43,2021,通知,工业、交通,信息产业（含电信）,clean,1,0.03389830508474576,27. 开展5G应用创新载体建设。依托5G应用产业方阵，以龙头企业、科研单位为创建主体，建设一批5G融合应用创新中心，开展面向应用创新的技术和产业服务。依托行业龙头企业、高等院校、科研院所，加快5G应用孵化器和众创空间等双创载体建设，完善创新载体运营模式。发挥孵化器和众创空间的区域产业聚集优势，结合地方产业特色，推动5G技术和应用解决方案成果转移转化。,,,
https://www.gov.cn/zhengce/zhengceku/2021-07/27/content_5627819.htm#10,https://www.gov.cn/zhengce/zhengceku/2021-07/27/content_5627819.htm,10,2021,通知,财政、金融、审计,其他,clean,1,0,（四）压减审批时限。将融资担保公司设立、变更审批事项的审批时限由30日压减至20日。,,,
https://www.gov.cn/zhengce/zhengceku/2021-02/26/content_5588985.htm#9,https://www.gov.cn/zhengce/zhengceku/2021-02/26/content_5588985.htm,9,2021,通知,科技、教育,其他,clean,1,0,（二）支持深圳建设光明科学城、河套深港科技创新合作区深圳园区、西丽湖国际科教城、坪山—大鹏粤港澳大湾区生命健康创新示范区，加快组建全新机制的医学科学院。,,,
https://www.gov.cn/zhengce/zhengceku/2021-12/01/content_5655183.htm#139,https://www.gov.cn/zhengce/zhengceku/2021-12/01/content_5655183.htm,139,2021,办法,财政、金融、审计,保险,clean,1,0.05714285714285714,第五十六条 保险集团公司可以直接或间接投资非保险子公司，具体类型包括：,,,
https://www.gov.cn/zhengce/zhengceku/2021-05/14/content_5606462.htm#18,https://www.gov.cn/zhengce/zhengceku/2021-05/14/content_5606462.htm,18,2021,通知,农业、林业、水利,农业、畜牧业、渔业,clean,1,0.04918032786885246,中央财政农业生产发展资金主要用于对农民直接补贴，以及支持农业绿色发展与技术服务、农业经营方式创新、农业产业发展等方面工作。,,,
https://www.gov.cn/zhengce/zhengceku/2021-05/08/content_5605239.htm#3,https://www.gov.cn/zhengce/zhengceku/2021-05/08/content_5605239.htm,3,2021,通知,财政、金融、审计,税务,clean,1,0.02564102564102564,为提高农业质量效益和竞争力，支持引进和推广良种，现将有关进口税收政策通知如下：,,,
